Date,Calib.Date,Time,Sample.ID,Treatment,Type,TA.Run,Temperature,pH.MV,Salinity,Period1,Notes,
20180619,20180619,14:22,Tank12,Low,Tank,No,26.94,-38.8,33.88,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,14:22,Tank13,Ambient,Tank,No,27.26,-52.3,33.92,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,14:22,Tank14,XLow,Tank,No,26.82,-23.4,34.09,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,14:22,Tank15,Low,Tank,No,27.08,-38.6,33.88,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,9:30,Tank10,Ambient,Tank,Yes,27.51,-54.7,34.3,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,9:30,Tank11,XLow,Tank,Yes,27.37,-21.4,34.26,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,9:30,Tank12,Low,Tank,Yes,27.35,-29,34.16,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,9:30,Tank13,Ambient,Tank,Yes,27.15,-53.3,34.31,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,9:30,Tank14,XLow,Tank,Yes,27.15,-22.8,34.2,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,9:30,Tank15,Low,Tank,Yes,27.12,-39.7,34.28,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,14:10,Tank10,Ambient,Tank,No,28.11,-55.1,34.12,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,14:10,Tank11,XLow,Tank,No,28.21,-22.2,34.25,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,14:10,Tank12,Low,Tank,No,28.28,-39.4,34.08,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,14:10,Tank13,Ambient,Tank,No,28.22,-54.8,34.02,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,14:10,Tank14,XLow,Tank,No,28.13,-23.9,34.12,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180620,20180620,14:10,Tank15,Low,Tank,No,28.16,-39.9,34.17,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,9:35,Tank10,Ambient,Tank,Yes,27.49,-56.8,34.25,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,9:35,Tank11,XLow,Tank,Yes,27.36,-23.1,34.29,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,9:35,Tank12,Low,Tank,Yes,27.41,-39.2,34.26,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,9:35,Tank13,Ambient,Tank,Yes,27.26,-56.2,34.29,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,9:35,Tank14,XLow,Tank,Yes,27.15,-23.5,34.27,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,9:35,Tank15,Low,Tank,Yes,27.12,-39.1,34.3,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,16:56,Tank10,Ambient,Tank,No,27.34,-55.8,34.22,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,16:56,Tank11,XLow,Tank,No,27.44,-22.2,34.33,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,16:56,Tank12,Low,Tank,No,27.52,-39.9,34.29,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,16:56,Tank13,Ambient,Tank,No,27.11,-54.5,34.2,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,16:56,Tank14,XLow,Tank,No,27.16,-22.8,34.3,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180621,20180621,16:56,Tank15,Low,Tank,No,27.24,-39.5,34.34,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,9:15,Tank10,Ambient,Tank,Yes,27.07,-55.1,34.32,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,9:15,Tank11,XLow,Tank,Yes,27.03,-23,34.35,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,9:15,Tank12,Low,Tank,Yes,27.05,-38.7,34.33,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,9:15,Tank13,Ambient,Tank,Yes,26.86,-53.2,34.37,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,9:15,Tank14,XLow,Tank,Yes,26.85,-24.8,34.33,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,9:15,Tank15,Low,Tank,Yes,26.84,-38.8,34.38,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,17:00,Tank10,Ambient,Tank,No,27.87,-54.8,34.29,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,17:00,Tank11,XLow,Tank,No,27.5,-25.4,34.37,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,17:00,Tank12,Low,Tank,No,27.73,-41.3,34.3,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,17:00,Tank13,Ambient,Tank,No,27.53,-54.4,34.33,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,17:00,Tank14,XLow,Tank,No,27.6,-25.4,34.29,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180622,20180622,17:00,Tank15,Low,Tank,No,27.4,-40.8,34.36,Devo,Thermo meter A325 + Mettler Toledo 5134301,
