"Date","Sample.ID","Treatment","Period1","Type","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat","Tank"
20180617,"20180617_Tank11","XLow","Devo","Tank",34.14,26.22,7.34335311246486,65.0836552776921,2360.20326882372,2073.64426105105,50.6853796937784,2189.41329602252,2198.20992661368,0.813680592676687,"Tank11"
20180617,"20180617_Tank12","Low","Devo","Tank",34.34,26.21,7.6464515606116,30.4455187472292,1104.9403604875,1952.24879067929,96.3050025622932,2078.99931198882,2189.66801634002,1.54397476966085,"Tank12"
20180617,"20180617_Tank13","Ambient","Devo","Tank",34.37,26.29,7.85622893746847,17.5472505231884,638.185838590021,1827.10956533139,146.631290432068,1991.28810628664,2189.19360686454,2.35129319626813,"Tank13"
20180617,"20180617_Tank14","XLow","Devo","Tank",34.29,26.11,7.38617669558005,58.58108759084,2120.26604112784,2058.20668963594,55.4928087840859,2172.28058601087,2194.74615620019,0.889512742515599,"Tank14"
20180617,"20180617_Tank15","Low","Devo","Tank",34.33,26.16,7.61820565851745,32.8168238069309,1189.47111081224,1969.76641181667,90.8633490709944,2093.4465846946,2193.65578800776,1.45646519857115,"Tank15"
20180618,"20180618_Tank10","Ambient","Devo","Tank",34.16,26.43,7.87263682967549,16.8257250343525,613.392779242185,1821.02561815877,151.80235164752,1989.65369484065,2195.39115039683,2.43923260116684,"Tank10"
20180618,"20180618_Tank10","Ambient","Devo","Tank",34.16,26.43,7.87263682967549,16.8932960409088,615.85612984983,1828.33873742898,152.411979920745,1997.64401339063,2203.92352621348,2.44902839907447,"Tank10"
20180618,"20180618_Tank11","XLow","Devo","Tank",34.2,26.32,7.32660073515061,67.4405594883453,2452.46714508343,2072.39802705676,48.9849438084542,2188.82353035356,2192.8418581416,0.786475177282177,"Tank11"
20180618,"20180618_Tank11","XLow","Devo","Tank",34.2,26.32,7.32660073515061,67.7944633854024,2465.33692896373,2083.27322951049,49.2419992457527,2200.30969214164,2204.23117146993,0.790602317274646,"Tank11"
20180618,"20180618_Tank12","Low","Devo","Tank",34.3,26.08,7.62624944495358,32.2284144424037,1165.65663876773,1967.12783503121,92.1039754215012,2091.46022489512,2194.06840285498,1.47605054235358,"Tank12"
20180618,"20180618_Tank12","Low","Devo","Tank",34.3,26.08,7.62624944495358,32.2645355079898,1166.96309268672,1969.33255886808,92.2072040101396,2093.80429838621,2196.47958386912,1.47770487500913,"Tank12"
20180618,"20180618_Tank13","Ambient","Devo","Tank",34.27,26.23,7.86586625391367,17.2541382480947,626.275932246234,1833.2789892852,149.749761635878,2000.28288916918,2202.53118752062,2.40213352493808,"Tank13"
20180618,"20180618_Tank13","Ambient","Devo","Tank",34.27,26.23,7.86586625391367,17.8919103698837,649.425293041153,1901.0432678609,155.285026384696,2074.22020461548,2281.36599559395,2.49092461800755,"Tank13"
20180618,"20180618_Tank13","Ambient","Devo","Tank",34.27,26.23,7.86586625391367,17.5399232413395,636.649135128151,1863.6440887202,152.230107741963,2033.41411970351,2237.85697916779,2.4419207170497,"Tank13"
20180618,"20180618_Tank14","XLow","Devo","Tank",34.17,26.28,7.36725188808517,61.5479268318791,2235.63150373136,2074.80825399531,53.7378822753242,2190.09406310251,2206.80188153015,0.862778373145042,"Tank14"
20180618,"20180618_Tank14","XLow","Devo","Tank",34.17,26.28,7.36725188808517,61.1924399621011,2222.71889913238,2062.82463196988,53.4275044520267,2177.444576384,2194.19750385812,0.857795160891292,"Tank14"
20180618,"20180618_Tank15","Low","Devo","Tank",34.22,26.14,7.64264461681509,31.0188363439485,1123.10972933408,1967.05109235672,95.6749885326738,2093.74491723334,2202.55800819123,1.53452474317583,"Tank15"
20180618,"20180618_Tank15","Low","Devo","Tank",34.22,26.14,7.64264461681509,30.9400733827825,1120.25791997679,1962.05636054019,95.4320508117741,2088.42848473475,2197.0774009329,1.53062828131585,"Tank15"
20180619,"20180619_Tank10","Ambient","Devo","Tank",34.24,27.01,7.886525296055,15.9761722085717,590.976910181058,1805.99979185335,159.057127363669,1981.03309142559,2198.18565397626,2.56206288450445,"Tank10"
20180619,"20180619_Tank11","XLow","Devo","Tank",34.43,26.74,7.33239245658543,65.7101309278789,2417.12554093016,2066.55180195284,50.5360528931129,2182.79798577383,2190.88161978507,0.811886420468693,"Tank11"
20180619,"20180619_Tank12","Low","Devo","Tank",34.36,26.66,7.64721880243559,30.1303764141185,1105.76947446625,1952.26792917627,98.1180519153365,2080.51635750573,2193.98968659909,1.5763993155413,"Tank12"
20180619,"20180619_Tank13","Ambient","Devo","Tank",34.2,26.88,7.88586925694516,16.0368950053017,591.228866433011,1805.13271478577,157.844399743606,1979.01400953468,2194.42756810125,2.54148844942017,"Tank13"
20180619,"20180619_Tank14","XLow","Devo","Tank",34.19,26.71,7.34433796400795,64.0768320130921,2352.42310625312,2066.04789649135,51.5869467433333,2181.71167524778,2192.84801345412,0.829943409544246,"Tank14"
20180619,"20180619_Tank15","Low","Devo","Tank",34.23,26.22,7.64022578141015,31.1334324885806,1129.545483915,1966.49606381724,95.4172070579767,2093.0467033638,2201.38101713724,1.53090325946926,"Tank15"
20180621,"20180621_Tank10","Ambient","Devo","Tank",34.25,27.49,7.89425071354248,15.4841726225213,579.495373615638,1797.87854450873,164.057710116184,1977.42042724744,2202.18464758828,2.649061364082,"Tank10"
20180621,"20180621_Tank11","XLow","Devo","Tank",34.29,27.36,7.33023680920806,65.7848840212813,2454.81371207945,2080.11680972077,51.6018362375069,2197.50352997956,2206.7566317053,0.832432795312869,"Tank11"
20180621,"20180621_Tank12","Low","Devo","Tank",34.26,27.41,7.5998486370985,33.7006666414615,1258.88631879124,1983.82674082508,91.6595973951757,2109.18700486172,2209.05129037598,1.47931937525155,"Tank12"
20180621,"20180621_Tank13","Ambient","Devo","Tank",34.29,27.26,7.88623683372069,15.9441733074498,593.52962177828,1810.33660781777,160.975304549152,1987.25608567437,2206.95871736682,2.59547287464493,"Tank13"
20180621,"20180621_Tank14","XLow","Devo","Tank",34.27,27.15,7.33842803216352,65.6509188277615,2437.15626905441,2106.83051832303,52.8302022240425,2225.31163937483,2236.18885058629,0.851428708435262,"Tank14"
20180621,"20180621_Tank15","Low","Devo","Tank",34.3,27.12,7.60047237024475,33.8131666917557,1254.5191327087,1983.29131742845,90.8894314376064,2107.99391555781,2206.75465715163,1.46428655589276,"Tank15"
20180622,"20180622_Tank10","Ambient","Devo","Tank",34.32,27.07,7.86912703341516,16.5258734913519,612.452652854472,1797.99660642686,152.750663018316,1967.27314293652,2175.437868586,2.45994969480069,"Tank10"
20180622,"20180622_Tank11","XLow","Devo","Tank",34.35,27.03,7.33053678970234,67.1128532885824,2485.20141239529,2111.66894209205,51.8682075511439,2230.65000293177,2238.68916276686,0.834966039384587,"Tank11"
20180622,"20180622_Tank12","Low","Devo","Tank",34.33,27.05,7.59397404676837,34.5325228279352,1279.2305371397,1993.30870602379,89.8257870236676,2117.6670158754,2214.04655962427,1.44634093890544,"Tank12"
20180622,"20180622_Tank13","Ambient","Devo","Tank",34.37,26.86,7.83900545610474,18.4142313843323,679.133758229066,1862.67824248845,146.689069677976,2027.78154355076,2223.61025826218,2.35900592717641,"Tank13"
20180622,"20180622_Tank14","XLow","Devo","Tank",34.33,26.85,7.36199141654412,61.1991180544113,2256.08067154771,2062.94939724626,54.096890384216,2178.24540568489,2195.94348406737,0.870152816803233,"Tank14"
20180622,"20180622_Tank15","Low","Devo","Tank",34.38,26.84,7.59725720400149,34.7193352102025,1279.92538298577,2012.24751660401,90.7774275763072,2137.74427939052,2235.01082547762,1.45960774269304,"Tank15"
