"","X359","X361","X363","X365","X367","X371","X373","X375","X379"
"g43285",1144,1118,1312,743,870,578,550,909,696
"g43283",260,333,265,146,116,334,210,201,366
"adi2mcaRNA15483_R2",291,316,448,332,328,206,120,344,219
"g58296",265,249,348,333,372,624,637,182,701
"g28336",4961,3903,5571,3378,4124,3096,2480,4224,2925
"g38104",1339,1253,1420,1094,1024,1637,1352,1053,2273
"g30488",82,96,66,67,130,224,226,21,243
"g30487",65,126,72,66,142,249,228,38,255
"g19040",1758,1393,2087,1137,1290,955,590,1599,949
"g30483",132,117,201,133,183,338,303,55,356
"g66867",3329,2918,5280,3233,4461,4764,3954,2656,7446
"g66866",4107,4432,4460,4143,3607,5235,3958,2900,5884
"g23274",3243,2699,3349,2225,2646,1891,1712,2580,1904
"adi2mcaRNA20473_R0",281,212,391,199,208,142,98,167,166
"g30076",403,347,395,292,354,236,188,317,188
"g21657",1745,1824,1726,1709,1399,2160,1621,1021,2040
"g21659",1212,1037,1521,1000,1003,765,679,1142,688
"adi2mcaRNA24811_R0",1943,2111,2619,2426,2639,3895,2598,1963,3591
"g67498",4557,4857,4402,4353,3751,5042,4378,3183,5527
"adi2mcaRNA31183_R4",1866,1532,1663,855,1444,715,431,1063,739
"g26411",1166,1175,1510,1150,1003,827,593,1106,838
"g50913",1315,1384,1223,1210,1013,1577,1314,837,1499
"g50915",2027,1605,2579,1492,1820,1230,988,2026,1219
"g45818",1269,1185,1634,1416,1086,1065,513,1314,801
"g22831",3803,3422,4097,2808,3329,2444,2004,2951,2361
"g49071",1179,1114,1061,867,751,1603,1100,672,1441
"adi2mcaRNA4240_R0",341,328,374,470,338,610,455,233,962
"g54586",1220,1302,1668,1421,1579,1265,765,1227,973
"g28274",831,919,727,739,555,838,730,562,936
"g23211",876,824,696,694,687,1052,717,578,1080
"g29639",1987,2159,2172,2280,1408,2638,1859,1385,2784
"g19631",692,534,854,514,558,330,343,576,436
"g67309",1398,1511,2694,2020,1831,1419,883,2291,1277
"g48516",973,978,1220,669,857,645,486,1000,573
"g41130",182,168,220,171,98,276,152,101,322
"adi2mcaRNA25130_R0",514,493,650,391,413,302,226,435,301
"g35018",812,652,1028,663,696,547,359,717,426
"g10407",2895,2982,3494,2985,2721,3618,2854,2454,3762
"g58827",759,731,794,817,866,1302,890,460,1365
"adi2mcaRNA22189_R0",41,65,111,81,64,44,25,79,25
"g34603",2491,2800,2680,2351,2074,3176,2250,1797,3171
"g50708",517,415,354,347,317,647,517,210,490
"g35106",4347,4962,4513,4568,3185,5469,4283,3041,5816
"g53541",90,48,98,63,65,34,25,46,32
"g828",377,492,280,241,232,314,313,320,348
"g45218",1734,1833,1911,1992,1396,2339,1557,1284,2546
"g46894",487,398,512,388,522,298,247,391,261
"g65057",798,917,823,922,492,1225,917,531,1294
"g28758",53,57,64,37,28,70,63,51,91
"g31847",1066,1104,1315,940,832,752,557,851,651
"g30486",66,53,74,89,108,140,181,30,233
"g27785",4604,4455,4447,3366,3750,2899,2439,3690,2896
"g20948",143,116,143,122,86,200,164,123,171
"adi2mcaRNA22597_R6",130,91,160,132,134,93,64,106,72
"g34373",3234,2653,9798,8170,4365,3555,2063,4399,3467
"g44217",623,561,938,607,776,515,458,616,453
"g63081",416,614,995,912,838,1406,903,519,1612
"g35292",3041,3423,4712,4143,3533,2639,1890,3057,3120
"g44801",1822,2052,2017,2152,1528,2574,2235,1365,3072
"g16012",3052,3112,3472,3039,2864,2448,1828,2965,2343
"g45435",410,477,454,366,356,510,424,280,553
"g49198",725,678,536,401,675,944,837,287,1079
"g41435",27283,32045,34840,33646,40249,54992,44798,26553,57116
"g41436",79898,95643,100004,97641,109197,160343,124337,79250,154951
"g62653",653,624,692,449,558,360,334,524,392
"g19897",630,676,701,412,508,329,235,476,361
"g70486",581,609,1365,1129,1023,747,650,596,854
"g55974",1308,1031,1305,758,955,679,600,962,605
"g30171",1733,1670,1782,1615,1355,2097,1658,1182,2477
"g53451",302,235,412,384,404,758,693,302,607
"g15721",128,118,117,125,109,198,150,175,185
"g23679",243,245,269,283,206,361,315,253,315
"g4526",277,258,296,221,300,138,134,282,190
"g56840",1541,1613,1971,1406,1469,1066,836,1458,1054
"adi2mcaRNA405_R0",6383,5838,6235,4298,4935,4072,2832,4781,3636
"g36428",1081,929,1295,901,1010,788,525,759,735
"g48860",669,679,775,659,566,783,654,554,891
"adi2mcaRNA12226_R0",218,187,209,216,127,293,248,147,305
"adi2mcaRNA5790_R0",186,187,262,149,129,91,38,165,79
"g53778",1356,1261,1552,1231,1283,1081,724,1246,987
"g48286",3229,3307,4592,4621,4854,6796,5286,3154,7263
"g26468",292,271,344,264,223,381,368,202,374
"g70880",629,707,979,783,659,551,423,593,504
"g69459",125,109,94,69,85,111,97,77,159
"g40959",1612,1703,1941,2002,1248,2333,1788,903,2627
"g40953",872,960,1086,880,899,1226,876,795,1133
"g40955",11563,12417,12690,9307,8795,15953,10285,8107,17946
"adi2mcaRNA22597_R1",154,146,242,179,154,83,100,178,111
"g21091",292,213,433,129,204,95,89,250,122
"g35869",3954,3905,4138,3857,3196,4356,3637,2629,4950
"g43600",1661,1643,1959,2750,1608,3410,1942,961,3498
"g25375",839,613,979,629,750,513,430,649,488
"g68022",140,104,118,79,78,140,129,72,188
"g67628",782,534,1171,542,757,401,326,722,407
"g17137",409,458,657,735,553,969,840,469,1094
"g50781",1496,1342,2013,1304,1545,1214,842,1496,1102
"g21704",1725,1375,1742,971,1399,981,665,1517,811
"g67344",641,640,575,530,565,867,556,510,732
"adi2mcaRNA23260_R0",2651,2490,2980,2080,2256,1651,1145,2257,1640
"g15776",367,417,285,270,149,420,255,241,405
"g246",1432,1369,1383,1664,1105,1805,1550,943,1889
"g47635",105,71,106,82,123,24,12,82,28
"g47639",303,182,424,136,206,72,79,283,122
"g6861",1400,1196,1195,1234,1135,1630,1509,974,1713
"g15944",551,510,506,583,378,715,591,393,793
"g7167",1039,1200,1266,1078,1323,1759,1050,925,1655
"adi2mcaRNA19301_R6",1017,956,1105,881,748,737,495,861,634
"g66994",73,60,149,117,161,86,62,48,65
"g48416",1917,1869,2066,1562,1779,1422,979,1801,1307
"g48411",1280,1325,1696,1647,1519,2210,1994,1575,2675
"g44683",1818,1309,1816,1536,1551,1281,846,1354,1175
"g65315",737,787,752,758,588,375,177,847,339
"adi2mcaRNA27051_R0",1018,784,1415,756,907,474,450,1077,503
"g41332",127,154,189,204,172,106,68,191,70
"g5423",456,280,403,280,277,162,143,355,205
"adi2mcaRNA24544_R0",151,187,197,165,208,283,198,161,291
"g69121",330,263,454,243,295,176,174,222,177
"g15544",3429,3649,3589,3354,2954,4783,3045,2714,4642
"g41341",522,453,494,379,378,282,241,384,271
"g64205",1223,1208,1128,1020,906,1241,976,832,1218
"g45319",2512,2647,3180,2496,2603,2078,1500,2235,2151
"g71122",398,388,337,402,324,516,415,202,590
"g48547",4229,4383,3987,3833,2119,4883,3570,2676,5181
"g47402",1609,1597,2146,1786,1368,901,573,1727,1046
"g47624",1335,1374,1605,1216,1310,1015,728,1319,887
"g9557",1031,1204,1246,1149,1309,1577,1267,908,1689
"g28457",440,384,195,224,79,383,229,203,240
"g24884",1383,1282,1374,1209,1035,1696,1432,934,1620
"g57612",1132,1045,1658,1440,1305,1845,1395,1024,1672
"adi2mcaRNA7512_R8",719,449,922,527,546,260,308,566,351
"g4639",952,894,1041,602,817,555,371,842,514
"g4187",2693,2734,2738,2800,2124,3219,2360,1999,3146
"g4182",210,261,258,226,328,356,361,165,425
"g53941",103,99,100,74,51,137,96,68,141
"g27898",634,715,924,824,803,1187,774,768,1445
"g541",246,289,125,85,77,244,199,95,283
