,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,cluster
7282,g63649,1826.122356,0.756521431,0.145497195,5.199560249,2.00E-07,1.23E-05,l_vs_amb,1
7283,g63658,128.4847055,-1.054293466,0.256454159,-4.111040627,3.94E-05,0.002281409,xl_vs_l,1
7284,g6366,226.334876,-0.849237632,0.254115728,-3.34193259,0.000831973,0.009307232,l_vs_amb,2
7285,g6367,3873.446886,0.3092665,0.112411604,2.751197277,0.005937787,0.039188298,l_vs_amb,1
7286,g63674,426.8405451,-0.549224907,0.15313857,-3.586457075,0.000335201,0.004752492,l_vs_amb,2
7287,g63674,426.8405451,-0.549224907,0.15313857,-3.586457075,0.000335201,0.004752492,l_vs_amb,2
7288,g63674,426.8405451,0.566324333,0.152907754,3.703699231,0.000212478,0.00778897,xl_vs_l,2
7289,g63674,426.8405451,0.566324333,0.152907754,3.703699231,0.000212478,0.00778897,xl_vs_l,2
7290,g6370,588.3403228,-0.502181247,0.158990376,-3.158563809,0.001585486,0.028302548,xl_vs_l,1
7291,g6370,588.3403228,-0.502181247,0.158990376,-3.158563809,0.001585486,0.028302548,xl_vs_l,1
7292,g6370,588.3403228,0.572903447,0.159349955,3.595253282,0.000324076,0.004619217,l_vs_amb,1
7293,g6370,588.3403228,0.572903447,0.159349955,3.595253282,0.000324076,0.004619217,l_vs_amb,1
7294,g6371,2067.608063,0.496273509,0.148520396,3.341450224,0.00083342,0.00931089,l_vs_amb,1
7295,g63803,309.6193722,0.862891858,0.237658248,3.630809647,0.000282534,0.021626187,xl_vs_amb,1
7296,g63819,189.4672745,0.592823135,0.214425854,2.764699888,0.005697519,0.038059852,l_vs_amb,1
7297,g63836,586.6713532,0.444092198,0.148002365,3.000575003,0.002694704,0.040488136,xl_vs_l,2
7298,g63836,586.6713532,0.444092198,0.148002365,3.000575003,0.002694704,0.040488136,xl_vs_l,2
7299,g63836,586.6713532,-0.486337609,0.148035692,-3.285272647,0.001018837,0.010842798,l_vs_amb,2
7300,g63836,586.6713532,-0.486337609,0.148035692,-3.285272647,0.001018837,0.010842798,l_vs_amb,2
7301,g63849,1246.458109,-0.4298461,0.133953293,-3.208925209,0.001332321,0.025492282,xl_vs_l,1
7302,g63849,1246.458109,-0.4298461,0.133953293,-3.208925209,0.001332321,0.025492282,xl_vs_l,1
7303,g63849,1246.458109,0.577962825,0.134274966,4.304323006,1.67E-05,0.000451357,l_vs_amb,1
7304,g63849,1246.458109,0.577962825,0.134274966,4.304323006,1.67E-05,0.000451357,l_vs_amb,1
7305,g6392,1129.26938,0.710712221,0.151539877,4.689935326,2.73E-06,0.000107822,l_vs_amb,1
7306,g6392,1129.26938,0.710712221,0.151539877,4.689935326,2.73E-06,0.000107822,l_vs_amb,1
7307,g6392,1129.26938,-0.497312722,0.151111616,-3.291029076,0.000998216,0.020915624,xl_vs_l,1
7308,g6392,1129.26938,-0.497312722,0.151111616,-3.291029076,0.000998216,0.020915624,xl_vs_l,1
7309,g6397,1156.168288,0.386101944,0.124618199,3.09827897,0.001946481,0.017654303,l_vs_amb,1
7310,g64086,3451.308884,0.352177218,0.107901099,3.263889071,0.001098942,0.011506662,l_vs_amb,1
7311,g64086,3451.308884,0.352177218,0.107901099,3.263889071,0.001098942,0.011506662,l_vs_amb,1
7312,g64086,3451.308884,-0.477405106,0.107948842,-4.42251254,9.76E-06,0.00091687,xl_vs_l,1
7313,g64086,3451.308884,-0.477405106,0.107948842,-4.42251254,9.76E-06,0.00091687,xl_vs_l,1
7314,g64088,2294.929445,0.657666507,0.151169259,4.350530726,1.36E-05,0.000384844,l_vs_amb,1
7315,g6412,887.8473485,0.404933379,0.133568539,3.031652392,0.002432191,0.020692943,l_vs_amb,1
7316,g6412,887.8473485,0.404933379,0.133568539,3.031652392,0.002432191,0.020692943,l_vs_amb,1
7317,g6412,887.8473485,-0.400715806,0.133438681,-3.002995865,0.002673361,0.040234216,xl_vs_l,1
7318,g6412,887.8473485,-0.400715806,0.133438681,-3.002995865,0.002673361,0.040234216,xl_vs_l,1
7319,g64135,3707.276896,-0.343302023,0.11319117,-3.032939957,0.002421838,0.020621237,l_vs_amb,2
7320,g64205,1071.886106,-0.353522973,0.120971733,-2.92236016,0.003473896,0.047302223,xl_vs_l,1
7321,g64234,444.9971594,-0.663667461,0.166213449,-3.992862568,6.53E-05,0.001331907,l_vs_amb,2
7322,g64234,444.9971594,-0.663667461,0.166213449,-3.992862568,6.53E-05,0.001331907,l_vs_amb,2
7323,g64234,444.9971594,-0.72746147,0.165712076,-4.389912237,1.13E-05,0.001933547,xl_vs_amb,2
7324,g64234,444.9971594,-0.72746147,0.165712076,-4.389912237,1.13E-05,0.001933547,xl_vs_amb,2
7325,g64238,1434.032904,-0.59360607,0.130999934,-4.531346328,5.86E-06,0.000198041,l_vs_amb,2
7326,g64238,1434.032904,-0.59360607,0.130999934,-4.531346328,5.86E-06,0.000198041,l_vs_amb,2
7327,g64238,1434.032904,0.432688237,0.131116158,3.300037484,0.000966719,0.02047998,xl_vs_l,2
7328,g64238,1434.032904,0.432688237,0.131116158,3.300037484,0.000966719,0.02047998,xl_vs_l,2
7329,g64261,426.4283813,-0.614797521,0.179378734,-3.427371276,0.000609455,0.015174642,xl_vs_l,1
7330,g64265,73.71329372,-1.110251228,0.365408092,-3.038387086,0.002378482,0.02037354,l_vs_amb,2
7331,g64286,104.1936881,-1.208981513,0.423521697,-2.854591681,0.004309219,0.031164046,l_vs_amb,2
7332,g64312,958.9364729,-0.562746037,0.132505892,-4.246951036,2.17E-05,0.000552003,l_vs_amb,2
7333,g64312,958.9364729,-0.562746037,0.132505892,-4.246951036,2.17E-05,0.000552003,l_vs_amb,2
7334,g64312,958.9364729,0.498530426,0.13251926,3.761946946,0.000168596,0.006650862,xl_vs_l,2
7335,g64312,958.9364729,0.498530426,0.13251926,3.761946946,0.000168596,0.006650862,xl_vs_l,2
7336,g64351,293.8088738,0.703091848,0.193155087,3.640037954,0.000272598,0.009120848,xl_vs_l,2
7337,g64367,130.0678857,-0.736667889,0.244859535,-3.008532576,0.002625127,0.021865508,l_vs_amb,2
7338,g64389,92.45862935,-0.900735246,0.301387429,-2.988629115,0.002802321,0.022860701,l_vs_amb,2
7339,g64389,92.45862935,-0.900735246,0.301387429,-2.988629115,0.002802321,0.022860701,l_vs_amb,2
7340,g64389,92.45862935,-1.100691853,0.301499453,-3.650725871,0.0002615,0.020464344,xl_vs_amb,2
7341,g64389,92.45862935,-1.100691853,0.301499453,-3.650725871,0.0002615,0.020464344,xl_vs_amb,2
7342,g64409,260.7681698,0.558422161,0.181417016,3.078113478,0.002083156,0.018509932,l_vs_amb,1
7343,g64414,720.2697858,0.642495575,0.187734999,3.422353732,0.000620815,0.015357759,xl_vs_l,2
7344,g64414,720.2697858,0.642495575,0.187734999,3.422353732,0.000620815,0.015357759,xl_vs_l,2
7345,g64414,720.2697858,-0.62640157,0.187843449,-3.334700112,0.000853914,0.009488282,l_vs_amb,2
7346,g64414,720.2697858,-0.62640157,0.187843449,-3.334700112,0.000853914,0.009488282,l_vs_amb,2
7347,g64424,1056.254159,-0.746033694,0.169892587,-4.391208039,1.13E-05,0.001933547,xl_vs_amb,2
7348,g64424,1056.254159,-0.746033694,0.169892587,-4.391208039,1.13E-05,0.001933547,xl_vs_amb,2
7349,g64424,1056.254159,-0.77106753,0.170252168,-4.528973345,5.93E-06,0.00019972,l_vs_amb,2
7350,g64424,1056.254159,-0.77106753,0.170252168,-4.528973345,5.93E-06,0.00019972,l_vs_amb,2
7351,g6443,328.1333221,0.928882281,0.234932656,3.953823613,7.69E-05,0.001524226,l_vs_amb,1
7352,g6444,1152.747235,-0.481645146,0.140193754,-3.435567797,0.000591313,0.014928507,xl_vs_l,1
7353,g6444,1152.747235,-0.481645146,0.140193754,-3.435567797,0.000591313,0.014928507,xl_vs_l,1
7354,g6444,1152.747235,0.567113793,0.140425234,4.038546194,5.38E-05,0.001145332,l_vs_amb,1
7355,g6444,1152.747235,0.567113793,0.140425234,4.038546194,5.38E-05,0.001145332,l_vs_amb,1
7356,g6445,1114.381576,0.547987387,0.140179757,3.909176321,9.26E-05,0.001768283,l_vs_amb,1
7357,g64473,940.1062846,0.524150516,0.143547417,3.6514103,0.000260804,0.008912902,xl_vs_l,2
7358,g64473,940.1062846,0.524150516,0.143547417,3.6514103,0.000260804,0.008912902,xl_vs_l,2
7359,g64473,940.1062846,-0.475455842,0.143708968,-3.308463268,0.000938095,0.010124336,l_vs_amb,2
7360,g64473,940.1062846,-0.475455842,0.143708968,-3.308463268,0.000938095,0.010124336,l_vs_amb,2
7361,g64474,14441.32604,-0.549585703,0.090220142,-6.091607578,1.12E-09,1.45E-07,l_vs_amb,2
7362,g64474,14441.32604,-0.549585703,0.090220142,-6.091607578,1.12E-09,1.45E-07,l_vs_amb,2
7363,g64474,14441.32604,0.299659208,0.090251728,3.320260075,0.000899336,0.019571027,xl_vs_l,2
7364,g64474,14441.32604,0.299659208,0.090251728,3.320260075,0.000899336,0.019571027,xl_vs_l,2
7365,g64484,544.9412406,-0.59595736,0.172819286,-3.448442443,0.00056383,0.034678002,xl_vs_amb,2
7366,g64488,145.9840063,0.650815828,0.232646596,2.797444019,0.005150869,0.035333677,l_vs_amb,1
